;cntry_code;AUS;AUT;BEL;BRA;BGR;CAN;CHN;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IND;IDN;IRL;ITA;JPN;LVA;LTU;LUX;MLT;MEX;NLD;NOR;POL;PRT;ROM;WWF;WWL;WWA;WWE;WWM;RUS;SVK;SVN;ZAF;KOR;ESP;SWE;CHE;TWN;TUR;GBR;USA
year;HANPP in 1000 t C;Australia;Austria;Belgium;Brazil;Bulgaria;Canada;China;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finnland;France;Germany;Greece;Hungary;India;Indonesia;Ireland;Italy;Japan;Latvia;Lithuania;Luxembourg;Malta;Mexico;Netherlands;Norway;Poland;Portugal;Romania;RoW Africa;RoW America;RoW Asia and Pacific;RoW Europe;RoW Middle East;Russia;Slovakia;Slovenia;South Africa;South Korea;Spain;Sweden;Switzerland;Taiwan;Turkey;United Kingdom;USA
1999;HANPP grassland;74839.93331;7556.762207;7765.969623;491558.5602;3022.437208;69325.32665;387036.7529;0;280.7366938;2209.075745;3662.557104;120.5824425;8094.799076;46039.89867;31081.43745;4217.939134;2966.382173;240664.1758;133153.4187;21160.70818;12700.1816;10858.13699;329.9113607;0;330.5248186;2.120390567;82515.22865;11675.23729;11023.52906;10571.52631;3781.943411;11089.91592;836154.8804;577810.2553;584910.7573;19645.95322;30082.98022;96935.45625;2541.082655;6004.690551;41654.42528;5844.656009;12848.37322;8811.033562;5243.258193;634.8250729;25925.87046;43539.69476;211961.9709
1999;HANPP built up;3935.934239;1882.1819;1386.227401;15180.88292;1326.916483;10577.06587;34708.4861;1022.709428;5.414765337;2224.247125;1173.13981;365.1975984;1748.105297;13198.04212;17320.04224;1433.846598;2105.768634;23417.97094;13754.91729;1701.331685;10701.39268;17107.89806;618.9211581;914.843139;58.99875774;0;3099.16811;1973.24123;1864.764401;8018.226788;1725.853322;4052.6201;34027.07315;20725.7057;44558.01425;20271.04678;946.897921;38323.03893;1168.773411;459.5780272;13515.13155;1718.234818;6244.681346;3654.583963;1677.619744;559.5873759;1136.600595;11951.07359;104562.9507
1998;HANPP cropland (area);132416.6883;7809.515972;4025.983819;394599.7214;14752.07226;153712.4039;588267.2311;8663.596429;133.4201491;17037.42225;11760.92728;3309.876952;8152.909256;99050.362;57853.94067;9901.632207;24197.46714;710015.0075;331443.9665;3732.853777;52922.55999;23875.43258;5320.959494;13690.8688;171.3485419;20.80363861;97581.59948;4108.834341;4644.893853;65276.46678;11289.90344;44664.68592;864534.8583;465106.3629;664486.0448;227683.4166;19268.43762;330157.9794;6989.599213;1894.537544;35349.38832;11218.05993;63810.68288;12477.02196;2386.606333;2718.612746;62511.87372;28170.78336;646925.6801
1998;HANPP woodland;10990.63745;5727.361737;2045.714777;116202.1128;1983.631317;73037.49962;180551.1459;2711.160543;10.96322757;5519.423913;863.2350361;4702.393721;20748.31034;27508.30094;19209.2509;955.335485;2572.99994;166270.1338;90007.58172;942.3117255;3707.746399;7523.050403;5608.285077;2976.298247;87.06697788;0;20397.70639;467.3994083;3475.66541;9496.651535;3560.201357;5495.473534;255479.0474;68590.92615;156546.7637;11152.59559;1481.936075;77992.64954;2707.357087;788.5461282;16648.49104;2380.796852;6444.430251;23357.64913;2443.316826;615.3664201;6107.815992;2987.856862;191533.5993
1998;HANPP grassland;73819.7334;7499.493868;7721.76684;483570.2537;3148.506776;68060.80674;377131.828;0;274.6970655;2316.721669;3602.09437;124.9624771;9745.165338;45982.6598;29999.84708;4399.216822;3238.921296;237270.5082;134241.8494;21313.18307;12804.6047;10905.10581;341.8950553;0;328.6435188;4.240781133;82888.86147;11596.53686;10680.44387;10940.85293;3611.805026;13216.99575;826843.5589;572957.1094;591183.2657;20077.80399;30316.63019;100456.5381;2664.906924;6276.631578;41548.57607;5547.741957;12673.6716;8808.818378;5337.487671;622.5411483;27110.37195;43650.01645;212510.2658
1998;HANPP built up;3890.769667;1849.30974;1368.700444;14943.13018;1354.369076;10417.87085;34452.87691;1011.828957;5.33785866;2179.426421;1145.097319;363.1978651;1721.902997;12942.2026;17062.87723;1426.556094;2074.941808;23052.32971;13461.6986;1686.352376;10675.26568;17000.19247;615.5320963;909.8336805;58.25279881;0;3064.308516;1952.173848;1832.929528;7903.033445;1706.362665;4073.766067;33034.74802;20090.09327;43921.87525;20161.67352;924.2952069;38113.19129;1145.221511;454.6886371;12901.35737;1706.665318;6198.128113;3565.905584;1656.220292;503.748313;1115.580594;11860.48383;103458.4527
1997;HANPP cropland (area);133188.9699;7775.007226;3947.641797;397651.8705;15082.06276;153359.0011;581029.26;8641.484727;135.8318275;16799.73444;11633.44742;3415.397175;8079.845016;97967.44189;57361.83734;8529.24652;23706.05481;715109.7044;325237.437;3788.69228;53446.13481;24148.16797;5490.593848;14127.33927;168.0142535;21.74254763;97837.31099;4086.58952;4596.257472;64996.58137;11383.16099;44628.84844;850630.4746;455183.4268;663611.7289;234255.7224;18886.23566;340683.5501;6892.087834;1889.702203;35564.3457;11286.01573;64162.66466;12306.44199;2366.796616;3586.612016;62402.56867;28492.50207;651788.1971
1997;HANPP woodland;10618.84184;5831.442228;2044.537384;114311.1403;1967.51181;72031.15325;178350.4587;2707.409324;12.15259436;5433.648859;872.2280451;5029.017129;20287.26353;26498.0125;19698.80678;971.878103;2590.010154;166651.7972;91398.06885;904.3275977;3660.826956;7986.312283;5997.830763;3183.028847;87.01686729;0;20247.1548;480.6574066;3591.648741;9233.773005;3595.580653;5538.858216;250472.7596;67485.3952;156460.8627;11823.79275;1456.64316;83409.93839;2665.283185;787.4550791;16254.28934;2367.495914;6499.589776;23048.41294;2390.775035;574.2922295;6073.808648;2939.005527;193086.9652
1997;HANPP grassland;72799.53348;7442.22553;7677.564057;475581.9472;3274.576345;66796.28683;367226.9032;0;268.6574371;2424.367592;3541.631635;129.3425117;11395.5316;45925.42093;28918.25672;4580.494511;3511.460418;233876.8407;135330.28;21465.65796;12909.02781;10952.07463;353.87875;0;326.7622191;6.3611717;83262.4943;11517.83642;10337.35868;11310.17955;3441.66664;15344.07558;817532.2373;568103.9634;597455.7741;20509.65476;30550.28016;103977.62;2788.731193;6548.572606;41442.72685;5250.827905;12498.96998;8806.603195;5431.717149;610.2572238;28294.87344;43760.33815;213058.5607
1997;HANPP built up;3845.605095;1816.437579;1351.173487;14705.37745;1381.821669;10258.67582;34197.26773;1000.948486;5.260951983;2134.605717;1117.054828;361.1981319;1695.700698;12686.36308;16805.71221;1419.26559;2044.114982;22686.68848;13168.47991;1671.373068;10649.13868;16892.48688;612.1430346;904.824222;57.50683987;0;3029.448923;1931.106466;1801.094654;7787.840101;1686.872008;4094.912033;32042.42288;19454.48084;43285.73625;20052.30026;901.6924929;37903.34365;1121.66961;449.799247;12287.58319;1695.095817;6151.574879;3477.227204;1634.820839;447.90925;1094.560593;11769.89407;102353.9548
1996;HANPP cropland (area);133961.2515;7740.49848;3869.299775;400704.0196;15412.05327;153005.5982;573791.2889;8619.373025;138.2435058;16562.04663;11505.96756;3520.917399;8006.780776;96884.52177;56869.734;7156.860834;23214.64248;720204.4013;319030.9074;3844.530782;53969.70963;24420.90337;5660.228201;14563.80973;164.6799651;22.68145664;98093.02249;4064.344699;4547.621091;64716.69595;11476.41853;44593.01095;836726.0908;445260.4906;662737.4129;240828.0282;18504.03368;351209.1208;6794.576455;1884.866861;35779.30309;11353.97152;64514.64643;12135.86201;2346.986899;4454.611287;62293.26362;28814.22078;656650.7142
1996;HANPP woodland;10247.04622;5935.522719;2043.359992;112420.1677;1951.392303;71024.80688;176149.7714;2703.658105;13.34196114;5347.873805;881.2210541;5355.640538;19826.21671;25487.72406;20188.36266;988.4207211;2607.020369;167033.4605;92788.55598;866.34347;3613.907513;8449.574162;6387.376449;3389.759448;86.9667567;0;20096.60321;493.915405;3707.632072;8970.894475;3630.95995;5582.242899;245466.4719;66379.86425;156374.9618;12494.98992;1431.350245;88827.22723;2623.209283;786.36403;15860.08764;2354.194977;6554.7493;22739.17675;2338.233245;533.2180388;6039.801305;2890.154191;194640.3311
1996;HANPP grassland;71779.33356;7384.957191;7633.361275;467593.6407;3400.645913;65531.76693;357321.9784;0;262.6178087;2532.013516;3481.168901;133.7225463;13045.89786;45868.18206;27836.66635;4761.7722;3783.999541;230483.1732;136418.7107;21618.13285;13013.45091;10999.04346;365.8624447;0;324.8809193;8.481562266;83636.12712;11439.13599;9994.273492;11679.50617;3271.528255;17471.15542;808220.9158;563250.8175;603728.2826;20941.50553;30783.93012;107498.7019;2912.555462;6820.513634;41336.87763;4953.913853;12324.26835;8804.388011;5525.946628;597.9732992;29479.37493;43870.65985;213606.8555
1996;HANPP built up;3800.440522;1783.565419;1333.646529;14467.62472;1409.274263;10099.4808;33941.65854;990.0680151;5.184045306;2089.785014;1089.012336;359.1983987;1669.498398;12430.52356;16548.54719;1411.975087;2013.288156;22321.04725;12875.26122;1656.39376;10623.01168;16784.78128;608.7539729;899.8147635;56.76088094;0;2994.589329;1910.039084;1769.259781;7672.646758;1667.381351;4116.058;31050.09775;18818.86841;42649.59724;19942.927;879.0897788;37693.49601;1098.11771;444.909857;11673.80901;1683.526317;6105.021646;3388.548824;1613.421387;392.0701871;1073.540592;11679.30431;101249.4568
1995;HANPP cropland (area);134733.5331;7705.989734;3790.957753;403756.1688;15742.04378;152652.1954;566553.3178;8597.261323;140.6551842;16324.35882;11378.4877;3626.437623;7933.716536;95801.60165;56377.63067;5784.475148;22723.23015;725299.0982;312824.3779;3900.369285;54493.28445;24693.63876;5829.862554;15000.2802;161.3456767;23.62036566;98348.73399;4042.099877;4498.98471;64436.81054;11569.67607;44557.17347;822821.7071;435337.5544;661863.097;247400.3341;18121.83172;361734.6915;6697.065077;1880.031519;35994.26047;11421.92731;64866.62821;11965.28204;2327.177182;5322.610558;62183.95858;29135.93949;661513.2312
1995;HANPP woodland;9875.250608;6039.60321;2042.1826;110529.1952;1935.272796;70018.46052;173949.0841;2699.906886;14.53132793;5262.09875;890.2140632;5682.263947;19365.1699;24477.43563;20677.91854;1004.963339;2624.030584;167415.1239;94179.04311;828.3593422;3566.98807;8912.836042;6776.922136;3596.490049;86.91664611;0;19946.05163;507.1734033;3823.615404;8708.015945;3666.339247;5625.627581;240460.1842;65274.3333;156289.0608;13166.18708;1406.057329;94244.51608;2581.135381;785.272981;15465.88594;2340.89404;6609.908825;22429.94056;2285.691454;492.1438482;6005.793961;2841.302856;196193.697
1995;HANPP grassland;70759.13365;7327.688853;7589.158492;459605.3342;3526.715482;64267.24702;347417.0535;0;256.5781804;2639.659439;3420.706167;138.1025808;14696.26412;45810.94319;26755.07598;4943.049889;4056.538663;227089.5057;137507.1413;21770.60774;13117.87402;11046.01228;377.8461393;0;322.9996196;10.60195283;84009.75995;11360.43556;9651.188304;12048.83279;3101.389869;19598.23525;798909.5942;558397.6715;610000.7911;21373.3563;31017.58009;111019.7837;3036.379731;7092.454661;41231.02842;4656.999801;12149.56673;8802.172827;5620.176106;585.6893747;30663.87642;43980.98154;214155.1504
1995;HANPP built up;3755.27595;1750.693259;1316.119572;14229.87198;1436.726856;9940.285777;33686.04935;979.1875442;5.107138629;2044.96431;1060.969845;357.1986655;1643.296098;12174.68404;16291.38217;1404.684583;1982.461331;21955.40602;12582.04253;1641.414451;10596.88469;16677.07569;605.3649112;894.805305;56.01492201;0;2959.729736;1888.971702;1737.424908;7557.453415;1647.890694;4137.203966;30057.77261;18183.25598;42013.45825;19833.55374;856.4870647;37483.64837;1074.56581;440.0204669;11060.03483;1671.956816;6058.468413;3299.870445;1592.021935;336.2311242;1052.520591;11588.71455;100144.9589
